# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000812185.1	Primary Assembly	chromosome		NZ_CP007026.1	1231885	134	-						24815904	T478_RS00005	378		
CDS	with_protein	GCF_000812185.1	Primary Assembly	chromosome		NZ_CP007026.1	1231885	134	-	WP_048106591.1	WP_048106591.1		hypothetical protein		24815904	T478_RS00005	378	125	
gene	protein_coding	GCF_000812185.1	Primary Assembly	chromosome		NZ_CP007026.1	307	1542	+						24815905	T478_RS00010	1236		old_locus_tag=T478_0001
CDS	with_protein	GCF_000812185.1	Primary Assembly	chromosome		NZ_CP007026.1	307	1542	+	WP_048106593.1	WP_048106593.1		AAA family ATPase		24815905	T478_RS00010	1236	411	
gene	protein_coding	GCF_000812185.1	Primary Assembly	chromosome		NZ_CP007026.1	1748	3223	-						24815906	T478_RS00015	1476		old_locus_tag=T478_0003
CDS	with_protein	GCF_000812185.1	Primary Assembly	chromosome		NZ_CP007026.1	1748	3223	-	WP_048104262.1	WP_048104262.1		DNA-directed DNA polymerase II small subunit		24815906	T478_RS00015	1476	491	
gene	protein_coding	GCF_000812185.1	Primary Assembly	chromosome		NZ_CP007026.1	3300	3827	+						24815907	T478_RS00020	528		old_locus_tag=T478_0004
CDS	with_protein	GCF_000812185.1	Primary Assembly	chromosome		NZ_CP007026.1	3300	3827	+	WP_048104263.1	WP_048104263.1		stage II sporulation protein M		24815907	T478_RS00020	528	175	
gene	protein_coding	GCF_000812185.1	Primary Assembly	chromosome		NZ_CP007026.1	4059	4799	+						24815908	T478_RS00025	741		old_locus_tag=T478_0006
CDS	with_protein	GCF_000812185.1	Primary Assembly	chromosome		NZ_CP007026.1	4059	4799	+	WP_048104264.1	WP_048104264.1		SDR family oxidoreductase		24815908	T478_RS00025	741	246	
gene	protein_coding	GCF_000812185.1	Primary Assembly	chromosome		NZ_CP007026.1	4800	5009	-						24815909	T478_RS00030	210		old_locus_tag=T478_0007
CDS	with_protein	GCF_000812185.1	Primary Assembly	chromosome		NZ_CP007026.1	4800	5009	-	WP_048106595.1	WP_048106595.1		hypothetical protein		24815909	T478_RS00030	210	69	
gene	protein_coding	GCF_000812185.1	Primary Assembly	chromosome		NZ_CP007026.1	5046	5570	-						70721047	T478_RS07780	525		
CDS	with_protein	GCF_000812185.1	Primary Assembly	chromosome		NZ_CP007026.1	5046	5570	-	WP_238573690.1	WP_238573690.1		DNA-3-methyladenine glycosylase		70721047	T478_RS07780	525	174	
gene	pseudogene	GCF_000812185.1	Primary Assembly	chromosome		NZ_CP007026.1	5661	6413	-						70721048	T478_RS07785	753		partial;pseudo
CDS	without_protein	GCF_000812185.1	Primary Assembly	chromosome		NZ_CP007026.1	5661	6413	-				serine/threonine protein kinase		70721048	T478_RS07785	753		partial;pseudo
gene	protein_coding	GCF_000812185.1	Primary Assembly	chromosome		NZ_CP007026.1	6388	7728	-					cca	24815912	T478_RS00045	1341		old_locus_tag=T478_0009
CDS	with_protein	GCF_000812185.1	Primary Assembly	chromosome		NZ_CP007026.1	6388	7728	-	WP_048104265.1	WP_048104265.1		CCA tRNA nucleotidyltransferase	cca	24815912	T478_RS00045	1341	446	
