# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_002156965.1	Primary Assembly	chromosome		NZ_CP021324.1	145	1347	+						32900507	NMSP_RS00005	1203		old_locus_tag=NMSP_0001
CDS	with_protein	GCF_002156965.1	Primary Assembly	chromosome		NZ_CP021324.1	145	1347	+	WP_086906887.1	WP_086906887.1		orc1/cdc6 family replication initiation protein		32900507	NMSP_RS00005	1203	400	
gene	protein_coding	GCF_002156965.1	Primary Assembly	chromosome		NZ_CP021324.1	1324	2787	-						32900508	NMSP_RS00010	1464		old_locus_tag=NMSP_0002
CDS	with_protein	GCF_002156965.1	Primary Assembly	chromosome		NZ_CP021324.1	1324	2787	-	WP_086906888.1	WP_086906888.1		DNA-directed DNA polymerase II small subunit		32900508	NMSP_RS00010	1464	487	
gene	protein_coding	GCF_002156965.1	Primary Assembly	chromosome		NZ_CP021324.1	2864	3400	+						32900509	NMSP_RS00015	537		old_locus_tag=NMSP_0003
CDS	with_protein	GCF_002156965.1	Primary Assembly	chromosome		NZ_CP021324.1	2864	3400	+	WP_152023789.1	WP_152023789.1		stage II sporulation protein M		32900509	NMSP_RS00015	537	178	
gene	protein_coding	GCF_002156965.1	Primary Assembly	chromosome		NZ_CP021324.1	3410	4126	-					cbiE	32900510	NMSP_RS00020	717		old_locus_tag=NMSP_0004
CDS	with_protein	GCF_002156965.1	Primary Assembly	chromosome		NZ_CP021324.1	3410	4126	-	WP_086906889.1	WP_086906889.1		precorrin-6y C5,15-methyltransferase (decarboxylating) subunit CbiE	cbiE	32900510	NMSP_RS00020	717	238	
gene	protein_coding	GCF_002156965.1	Primary Assembly	chromosome		NZ_CP021324.1	4141	4620	-						32900511	NMSP_RS00025	480		old_locus_tag=NMSP_0005
CDS	with_protein	GCF_002156965.1	Primary Assembly	chromosome		NZ_CP021324.1	4141	4620	-	WP_086906890.1	WP_086906890.1		hypothetical protein		32900511	NMSP_RS00025	480	159	
gene	protein_coding	GCF_002156965.1	Primary Assembly	chromosome		NZ_CP021324.1	4693	6228	+						32900512	NMSP_RS00030	1536		old_locus_tag=NMSP_0006
CDS	with_protein	GCF_002156965.1	Primary Assembly	chromosome		NZ_CP021324.1	4693	6228	+	WP_086906891.1	WP_086906891.1		peptidylprolyl isomerase		32900512	NMSP_RS00030	1536	511	
gene	protein_coding	GCF_002156965.1	Primary Assembly	chromosome		NZ_CP021324.1	6235	7593	-						32900513	NMSP_RS00035	1359		old_locus_tag=NMSP_0007
CDS	with_protein	GCF_002156965.1	Primary Assembly	chromosome		NZ_CP021324.1	6235	7593	-	WP_086906892.1	WP_086906892.1		NAD(P)/FAD-dependent oxidoreductase		32900513	NMSP_RS00035	1359	452	
gene	protein_coding	GCF_002156965.1	Primary Assembly	chromosome		NZ_CP021324.1	7661	8311	-						32900514	NMSP_RS00040	651		old_locus_tag=NMSP_0008
CDS	with_protein	GCF_002156965.1	Primary Assembly	chromosome		NZ_CP021324.1	7661	8311	-	WP_225971282.1	WP_225971282.1		ACT domain-containing protein		32900514	NMSP_RS00040	651	216	
gene	protein_coding	GCF_002156965.1	Primary Assembly	chromosome		NZ_CP021324.1	8428	8922	+						32900515	NMSP_RS00045	495		old_locus_tag=NMSP_0009
CDS	with_protein	GCF_002156965.1	Primary Assembly	chromosome		NZ_CP021324.1	8428	8922	+	WP_086906894.1	WP_086906894.1		Hsp20/alpha crystallin family protein		32900515	NMSP_RS00045	495	164	
gene	protein_coding	GCF_002156965.1	Primary Assembly	chromosome		NZ_CP021324.1	8952	11093	+						32900516	NMSP_RS00050	2142		old_locus_tag=NMSP_0010
CDS	with_protein	GCF_002156965.1	Primary Assembly	chromosome		NZ_CP021324.1	8952	11093	+	WP_086906895.1	WP_086906895.1		CDC48 family AAA ATPase		32900516	NMSP_RS00050	2142	713	
gene	protein_coding	GCF_002156965.1	Primary Assembly	chromosome		NZ_CP021324.1	11123	11341	+						32900517	NMSP_RS00055	219		old_locus_tag=NMSP_0011
CDS	with_protein	GCF_002156965.1	Primary Assembly	chromosome		NZ_CP021324.1	11123	11341	+	WP_086906896.1	WP_086906896.1		hypothetical protein		32900517	NMSP_RS00055	219	72	
gene	protein_coding	GCF_002156965.1	Primary Assembly	chromosome		NZ_CP021324.1	11342	12256	-						32900518	NMSP_RS00060	915		old_locus_tag=NMSP_0012
CDS	with_protein	GCF_002156965.1	Primary Assembly	chromosome		NZ_CP021324.1	11342	12256	-	WP_086906897.1	WP_086906897.1		urease accessory protein UreD		32900518	NMSP_RS00060	915	304	
gene	protein_coding	GCF_002156965.1	Primary Assembly	chromosome		NZ_CP021324.1	12260	12916	-					ureG	32900519	NMSP_RS00065	657		old_locus_tag=NMSP_0013
CDS	with_protein	GCF_002156965.1	Primary Assembly	chromosome		NZ_CP021324.1	12260	12916	-	WP_086906898.1	WP_086906898.1		urease accessory protein UreG	ureG	32900519	NMSP_RS00065	657	218	
gene	protein_coding	GCF_002156965.1	Primary Assembly	chromosome		NZ_CP021324.1	12934	13635	-						32900520	NMSP_RS00070	702		old_locus_tag=NMSP_0014
CDS	with_protein	GCF_002156965.1	Primary Assembly	chromosome		NZ_CP021324.1	12934	13635	-	WP_086908290.1	WP_086908290.1		urease accessory protein		32900520	NMSP_RS00070	702	233	
gene	protein_coding	GCF_002156965.1	Primary Assembly	chromosome		NZ_CP021324.1	13625	14098	-						32900521	NMSP_RS00075	474		old_locus_tag=NMSP_0015
CDS	with_protein	GCF_002156965.1	Primary Assembly	chromosome		NZ_CP021324.1	13625	14098	-	WP_086906899.1	WP_086906899.1		Urease accessory protein		32900521	NMSP_RS00075	474	157	
gene	protein_coding	GCF_002156965.1	Primary Assembly	chromosome		NZ_CP021324.1	14184	14489	+						32900522	NMSP_RS00080	306		old_locus_tag=NMSP_0016
CDS	with_protein	GCF_002156965.1	Primary Assembly	chromosome		NZ_CP021324.1	14184	14489	+	WP_225971283.1	WP_225971283.1		urease subunit gamma		32900522	NMSP_RS00080	306	101	
gene	protein_coding	GCF_002156965.1	Primary Assembly	chromosome		NZ_CP021324.1	14491	14859	+						32900523	NMSP_RS00085	369		old_locus_tag=NMSP_0017
CDS	with_protein	GCF_002156965.1	Primary Assembly	chromosome		NZ_CP021324.1	14491	14859	+	WP_086906901.1	WP_086906901.1		urease subunit beta		32900523	NMSP_RS00085	369	122	
gene	protein_coding	GCF_002156965.1	Primary Assembly	chromosome		NZ_CP021324.1	14856	16568	+					ureC	32900524	NMSP_RS00090	1713		old_locus_tag=NMSP_0018
CDS	with_protein	GCF_002156965.1	Primary Assembly	chromosome		NZ_CP021324.1	14856	16568	+	WP_086906902.1	WP_086906902.1		urease subunit alpha	ureC	32900524	NMSP_RS00090	1713	570	
gene	protein_coding	GCF_002156965.1	Primary Assembly	chromosome		NZ_CP021324.1	16789	18738	+						32900525	NMSP_RS00095	1950		old_locus_tag=NMSP_0019
