# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000015205.1	Primary Assembly	chromosome		NC_008701.1	1492	1857	+						4617332	PISL_RS00005	366		old_locus_tag=Pisl_0001
CDS	with_protein	GCF_000015205.1	Primary Assembly	chromosome		NC_008701.1	1492	1857	+	WP_011761762.1	WP_011761762.1		hypothetical protein		4617332	PISL_RS00005	366	121	
gene	protein_coding	GCF_000015205.1	Primary Assembly	chromosome		NC_008701.1	1944	2660	+						4616623	PISL_RS00010	717		old_locus_tag=Pisl_0002
CDS	with_protein	GCF_000015205.1	Primary Assembly	chromosome		NC_008701.1	1944	2660	+	WP_053240518.1	WP_053240518.1		S-adenosyl-l-methionine hydroxide adenosyltransferase family protein		4616623	PISL_RS00010	717	238	
gene	rRNA	GCF_000015205.1	Primary Assembly	chromosome		NC_008701.1	2751	2871	-					rrf	4616459	PISL_RS00015	121		old_locus_tag=Pisl_R0001
rRNA		GCF_000015205.1	Primary Assembly	chromosome		NC_008701.1	2751	2871	-				5S ribosomal RNA	rrf	4616459	PISL_RS00015	121		
gene	protein_coding	GCF_000015205.1	Primary Assembly	chromosome		NC_008701.1	3000	3623	-						4617602	PISL_RS00020	624		old_locus_tag=Pisl_0003
CDS	with_protein	GCF_000015205.1	Primary Assembly	chromosome		NC_008701.1	3000	3623	-	WP_011761764.1	WP_011761764.1		hypothetical protein		4617602	PISL_RS00020	624	207	
gene	protein_coding	GCF_000015205.1	Primary Assembly	chromosome		NC_008701.1	3668	4570	+						4618286	PISL_RS00025	903		old_locus_tag=Pisl_0004
CDS	with_protein	GCF_000015205.1	Primary Assembly	chromosome		NC_008701.1	3668	4570	+	WP_011761765.1	WP_011761765.1		NAD(P)-dependent oxidoreductase		4618286	PISL_RS00025	903	300	
gene	protein_coding	GCF_000015205.1	Primary Assembly	chromosome		NC_008701.1	4829	6109	-						4618300	PISL_RS00035	1281		old_locus_tag=Pisl_0005
CDS	with_protein	GCF_000015205.1	Primary Assembly	chromosome		NC_008701.1	4829	6109	-	WP_011761766.1	WP_011761766.1		zinc ribbon domain-containing protein		4618300	PISL_RS00035	1281	426	
gene	protein_coding	GCF_000015205.1	Primary Assembly	chromosome		NC_008701.1	6216	6458	-						4616826	PISL_RS00040	243		old_locus_tag=Pisl_0006
CDS	with_protein	GCF_000015205.1	Primary Assembly	chromosome		NC_008701.1	6216	6458	-	WP_053240215.1	WP_053240215.1		hypothetical protein		4616826	PISL_RS00040	243	80	
gene	protein_coding	GCF_000015205.1	Primary Assembly	chromosome		NC_008701.1	6710	6877	+						4618139	PISL_RS00045	168		old_locus_tag=Pisl_0007
CDS	with_protein	GCF_000015205.1	Primary Assembly	chromosome		NC_008701.1	6710	6877	+	WP_011761768.1	WP_011761768.1		hypothetical protein		4618139	PISL_RS00045	168	55	
gene	protein_coding	GCF_000015205.1	Primary Assembly	chromosome		NC_008701.1	6907	7482	+						4618125	PISL_RS00050	576		old_locus_tag=Pisl_0008
CDS	with_protein	GCF_000015205.1	Primary Assembly	chromosome		NC_008701.1	6907	7482	+	WP_011761769.1	WP_011761769.1		hypothetical protein		4618125	PISL_RS00050	576	191	
gene	protein_coding	GCF_000015205.1	Primary Assembly	chromosome		NC_008701.1	7469	8215	-						4617619	PISL_RS00055	747		old_locus_tag=Pisl_0009
CDS	with_protein	GCF_000015205.1	Primary Assembly	chromosome		NC_008701.1	7469	8215	-	WP_011761770.1	WP_011761770.1		ZIP family metal transporter		4617619	PISL_RS00055	747	248	
gene	protein_coding	GCF_000015205.1	Primary Assembly	chromosome		NC_008701.1	8263	9234	+						4616663	PISL_RS00060	972		old_locus_tag=Pisl_0010
CDS	with_protein	GCF_000015205.1	Primary Assembly	chromosome		NC_008701.1	8263	9234	+	WP_011761771.1	WP_011761771.1		SPFH domain-containing protein		4616663	PISL_RS00060	972	323	
gene	protein_coding	GCF_000015205.1	Primary Assembly	chromosome		NC_008701.1	9231	9527	+						4616458	PISL_RS00065	297		old_locus_tag=Pisl_0011
CDS	with_protein	GCF_000015205.1	Primary Assembly	chromosome		NC_008701.1	9231	9527	+	WP_011761772.1	WP_011761772.1		hypothetical protein		4616458	PISL_RS00065	297	98	
gene	protein_coding	GCF_000015205.1	Primary Assembly	chromosome		NC_008701.1	9524	10444	+						4616846	PISL_RS00070	921		old_locus_tag=Pisl_0012
