# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000299365.1	Primary Assembly	chromosome		NC_018655.1	218	973	+						13724738	NKOR_RS00005	756		old_locus_tag=NKOR_00010
CDS	with_protein	GCF_000299365.1	Primary Assembly	chromosome		NC_018655.1	218	973	+	WP_014962321.1	WP_014962321.1		aspartate/glutamate racemase family protein		13724738	NKOR_RS00005	756	251	
gene	protein_coding	GCF_000299365.1	Primary Assembly	chromosome		NC_018655.1	954	1724	-					cobM	13725458	NKOR_RS00010	771		old_locus_tag=NKOR_00015
CDS	with_protein	GCF_000299365.1	Primary Assembly	chromosome		NC_018655.1	954	1724	-	WP_014962322.1	WP_014962322.1		precorrin-4 C(11)-methyltransferase	cobM	13725458	NKOR_RS00010	771	256	
gene	protein_coding	GCF_000299365.1	Primary Assembly	chromosome		NC_018655.1	1717	2439	-					cobI	13724739	NKOR_RS00015	723		old_locus_tag=NKOR_00020
CDS	with_protein	GCF_000299365.1	Primary Assembly	chromosome		NC_018655.1	1717	2439	-	WP_014962323.1	WP_014962323.1		precorrin-2 C(20)-methyltransferase	cobI	13724739	NKOR_RS00015	723	240	
gene	protein_coding	GCF_000299365.1	Primary Assembly	chromosome		NC_018655.1	2475	3065	-					cbiT	13725459	NKOR_RS00020	591		old_locus_tag=NKOR_00025
CDS	with_protein	GCF_000299365.1	Primary Assembly	chromosome		NC_018655.1	2475	3065	-	WP_014962324.1	WP_014962324.1		precorrin-6Y C5,15-methyltransferase (decarboxylating) subunit CbiT	cbiT	13725459	NKOR_RS00020	591	196	
gene	protein_coding	GCF_000299365.1	Primary Assembly	chromosome		NC_018655.1	3096	3572	-						13725460	NKOR_RS00025	477		old_locus_tag=NKOR_00030
CDS	with_protein	GCF_000299365.1	Primary Assembly	chromosome		NC_018655.1	3096	3572	-	WP_014962325.1	WP_014962325.1		hypothetical protein		13725460	NKOR_RS00025	477	158	
